"";"Var1";"Freq"
"625";"Anthostoma";1
"626";"Anthracoidea";1
"627";"Anthracophyllum";1
"628";"Antrodia";1
"629";"Aphanocladium";1
"630";"Apioperdon";1
"631";"Apiosordaria";1
"632";"Apiospora";1
"633";"Aplanocalenia";1
"634";"Arachniotus";1
"635";"Aristastoma";1
"636";"Arrhenia";1
"637";"Ascochytopsis";1
"638";"Asperisporium";1
"639";"Aspidella";1
"640";"Asproinocybe";1
"641";"Asteromella";1
"642";"Asterostomopsis";1
"643";"Asterostomula";1
"644";"Asterostroma";1
"645";"Astrochapsa";1
"646";"Athelia";1
"647";"Atheniella";1
"648";"Atractilina";1
"649";"Autoicomyces";1
"650";"Autophagomyces";1
"651";"Bactrodesmium";1
"652";"Bagliettoa";1
"653";"Balansiopsis";1
"654";"Balladynella";1
"655";"Balladynopsis";1
"656";"Bartalinia";1
"657";"Barubria";1
"658";"Batkoa";1
"659";"Beauveria";1
"660";"Bellulicauda";1
"661";"Beltraniopsis";1
"662";"Beniowskia";1
"663";"Berkleasmium";1
"664";"Bidenticula";1
"665";"Bionectria";1
"666";"Bispora";1
"667";"Bisporella";1
"668";"Bitunicostilbe";1
"669";"Blakeslea";1
"670";"Boidinia";1
"671";"Bordea";1
"672";"Botrytis";1
"673";"Bovetia";1
"674";"Brachysporiella";1
"675";"Brevistachys";1
"676";"Brigantiaea";1
"677";"Brobdingnagia";1
"678";"Brooksia";1
"679";"Broomeia";1
"680";"Brunneiapiospora";1
"681";"Brunneosphaerella";1
"682";"Bulgaria";1
"683";"Bullatina";1
"684";"Cadophora";1
"685";"Calloriopsis";1
"686";"Calocera";1
"687";"Caloplaca";1
"688";"Calostilbe";1
"689";"Calothyriella";1
"690";"Camarops";1
"691";"Camillea";1
"692";"Campanella";1
"693";"Campylospora";1
"694";"Capnodium";1
"695";"Catenulocercospora";1
"696";"Catillaria";1
"697";"Cephaliophora";1
"698";"Cephalosporium";1
"699";"Cephalotrichum";1
"700";"Ceraceosorus";1
"701";"Ceratophoma";1
"702";"Ceratosphaeria";1
"703";"Cercosporidium";1
"704";"Ceriporia";1
"705";"Ceriporiopsis";1
"706";"Cestodella";1
"707";"Cetraspora";1
"708";"Chaconia";1
"709";"Chaenothecopsis";1
"710";"Chaetomidium";1
"711";"Chalastospora";1
"712";"Chevalieropsis";1
"713";"Chiodecton";1
"714";"Chondrostereum";1
