"x"
"Epichloe cinerea";6
"Eudarluca australis";6
"Flavodon flavus";6
"Fuligo septica";6
"Fusarium equiseti";6
"Fusarium incarnatum ";6
"Fusarium lolii";6
"Gaeumannomyces graminis";6
"Ganoderma curtisii";6
"Golovinomyces cichoracearum";6
"Grallomyces portoricensis";6
"Haplotrichum croceum ";6
"Helminthosporium cantareirense";6
"Hemileia deightonii";6
"Hermatomyces sphaericus";6
"Hexagonia crinigera";6
"Hexagonia discopoda";6
"Inonotus tabacinus";6
"Irenopsis colicola";6
"Irenopsis guianensis";6
"Irenopsis mikaniae";6
"Jamesdicksonia dactylidis";6
"Lactifluus annulatoangustifolius";6
"Lactifluus denigricans";6
"Lactifluus emergens";6
"Lactifluus pelliculatus";6
"Lactifluus pumilus";6
"Lactifluus sudanicus";6
"Lactifluus volemoides";6
"Leiotrametes menziesii";6
"Lentinus sajor-caju";6
"Leucocintractia scleriae";6
"Macalpinomyces elymandrae";6
"Marasmius corrugatiformis";6
"Marasmius grandisetulosus";6
"Marasmius haematocephalus";6
"Marasmius heinemannianus";6
"Marasmius lilacinoalbus";6
"Mazosia rotula";6
"Meliola baphiae-nitidae";6
"Meliola dracaenicola";6
"Meliola loranthi";6
"Meliola setariae";6
"Meliola teke";6
"Meliola trifurcata";6
"Metarhizium flavoviride";6
"Micropeltella minima";6
"Microporus incomptus";6
"Mutinus bambusinus";6
"Paecilomyces variotii";6
"Parapeltella maitlandii ";6
"Passalora gliricidiasis";6
"Perichaena depressa";6
"Pestalotiopsis angusta";6
"Phakopsora apoda";6
"Phyllachora afzeliae";6
"Physarum pusillum";6
"Plasmopara viticola";6
"Pleurotus cystidiosus";6
"Podoscypha bolleana";6
"Polyporus perula";6
"Porina tetracerae";6
"Pseudocercospora fuligena";6
"Pseudocercospora pulviniformis";6
"Pseudocercospora trematicola";6
"Pseudocercospora triumfettigena";6
"Puccinia digitariae-velutinae";6
"Pucciniosira anthocleistae";6
"Pycnoporus cinnabarinus";6
"Pyrenula mamillana";6
"Rhizophagus clarus";6
"Russula compressa";6
"Schiffnerula solani";6
"Sclerotinia ricini";6
"Skierka congensis";6
"Spiropes melanoplaca";6
"Sporidesmium uvariicola";6
"Stemonitis fusca";6
"Strigula smaragdula";6
"Termitomyces eurrhizus";6
"Tomenticola trematis";6
"Trametes marianna";6
"Tricharia vainioi";6
"Uromyces mucunae";6
"Usnea africana";6
"Ustilago dactylocteniophila";6
"Xylaria hypoxylon";6
"Ypsilospora africana";6
"Acaulospora colombiana";5
"Acaulospora morrowiae";5
"Acaulospora spinosa";5
"Acremoniula sarcinellae";5
"Acrostalagmus annulatus";5
"Acrostalagmus luteoalbus";5
"Aecidium garckeanum";5
"Agaricus bulbillosus";5
"Albugo ipomoeae-panduratae";5
"Alternaria alternata";5
"Amazonia psychotriae";5
"Arcyria denudata";5
"Aspergillus amstelodami";5
"Aspergillus chevalieri";5
"Aspergillus glaucus";5
"Aspergillus violaceus";5
"Asteridiella ekebergiae ";5
"Asteridiella phyllanthi";5
"Asteridiella sarcocephali";5
"Asterina alchorneae";5
"Asterina clasterosporium";5
"Asterina concinna";5
"Asterina scruposa";5
"Asterothyrium pittieri";5
"Balansia oryzae-sativae";5
"Bionectria ochroleuca";5
"Biscogniauxia capnodes";5
"Bovista pusilla";5
"Brunneiapiospora deightonii";5
"Calenia depressa";5
"Calocera cornea";5
"Calopadia foliicola";5
"Campylospora chaetocladia";5
"Cephaliophora tropica";5
"Cercospora deightonii";5
"Cercospora gerberae";5
"Cercospora hydrangeae";5
"Cercospora pinnulicola";5
"Cercosporella dioscoreophylli";5
"Cetraspora pellucida";5
"Chevalieropsis ctenotricha";5
"Cladosporium cladosporioides";5
"Clarohilum henningsii";5
"Coenogonium subluteum";5
"Colletotrichum falcatum";5
"Colletotrichum lindemuthianum";5
"Colletotrichum nigrum";5
"Cookeina tricholoma";5
"Cordyceps amoene-rosea";5
"Cordyceps fumosorosea";5
"Crinipellis atrovinosa";5
"Cryptococcus neoformans";5
"Curvularia neergaardii";5
"Curvularia oryzae";5
"Curvularia senegalensis";5
"Didymella glomerata";5
"Englerula leonensis";5
"Eriocercospora balladynae";5
"Eriomycopsis flagellata";5
"Fellhanera rhaphidophylli";5
"Fomes fulvellus";5
"Funalia floccosa";5
"Fusarium graminearum";5
"Fusarium incarnatum";5
"Geastrum pulverulentus";5
"Geastrum velutinum";5
"Gliomastix luzulae";5
"Gyrodon intermedius";5
"Gyrothrix hughesii";5
"Hansfordiella asterinearum";5
"Hansfordiellopsis lichenicola";5
"Hemileia mussaendae";5
"Hemileia scitula";5
"Hemileia vastatrix";5
"Hygrocybe firma";5
"Hygrophoropsis mangenotii";5
"Hypholoma murinacea";5
"Irenina trematis";5
"Irenopsis acridocarpicola";5
"Irenopsis chandleri";5
"Junewangia obliqua";5
"Kretzschmaria cetrarioides";5
"Lacellina graminicola";5
"Lacellinopsis sacchari";5
"Lactifluus longipes";5
"Lactifluus nonpiscis";5
"Langermannia wahlbergii";5
"Lenzites betulinus";5
"Leptosphaeria australiensis";5
"Leucoagaricus goossensiae";5
"Leucocoprinus cretaceus";5
"Lichtheimia corymbifera";5
"Lycoperdon pratense";5
"Malmidea granifera";5
"Marasmius ferruginoides";5
"Marasmius rotula";5
"Marasmius sierraleonis";5
"Mazosia phyllosema";5
"Meliola alstoniae";5
"Meliola berliniae";5
"Meliola carapae";5
"Meliola carpolobiicola";5
"Meliola cissi";5
"Meliola deinbolliae";5
"Meliola dioscoreicola";5
"Meliola dissotidis";5
"Meliola hugoniae";5
"Meliola jasmini";5
"Meliola khayae";5
"Meliola koniaensis";5
"Meliola linacearum";5
"Meliola newbouldiae";5
"Meliola rizalensis";5
"Meliola scabriseta";5
"Meliola sesami";5
"Meliola sterculiae";5
"Meliolinella elaeidis";5
"Microsphaeropsis glumarum";5
"Mycosyrinx microspora";5
"Naucoria conicopapillata";5
"Nectria dealbata";5
"Nodulisporium acervatum";5
"Olivea scitula";5
"Ophiocordyceps unilateralis";5
"Paraglomus occultum";5
"Parasola plicatilis";5
"Parasola setulosa";5
"Parmotrema tinctorum";5
"Passalora janseana";5
"Penicillium chrysogenum";5
"Penicillium italicum";5
"Penzigomyces flagellatus";5
"Perisporiopsis lophirae";5
"Peronosclerospora sorghi";5
"Phaeoisaria clematidis";5
"Phellinus yucatanensis";5
"Phragmidiella africana";5
"Phyllachora carpodini";5
"Phyllachora neurophila";5
"Physarum cinereum";5
"Pilatoporus ostreiformis";5
"Pithomyces africanus";5
"Podosordaria nigripes";5
"Podosphaera euphorbiae-hirtae";5
"Podosporium deightonii";5
"Porina epiphylla";5
"Pseudocercospora angolensis";5
"Pseudocercospora bauhiniae";5
"Pseudocercospora chrysobalani";5
"Pseudocercospora serpentinae";5
"Pseudosagedia nitidula";5
"Puccinia aspiliae-latifoliae";5
"Puccinia bakoyana";5
"Puccinia multiloculata";5
"Pulveroboletus ravenelii";5
"Pyrenula aspistea";5
"Pythium aphanidermatum";5
"Ramularia gossypii";5
"Rosellinia asperata";5
"Russula flavobrunnea";5
"Russula meleagris";5
"Saccharomyces cerevisiae";5
"Sarocladium oryzae";5
"Sarocladium strictum";5
"Schiffnerula hippocrateae";5
"Schiffnerula ricini";5
"Schizothyrium pomi";5
"Sclerotium coffeicola";5
"Septonema loranthi";5
"Seynesia nobilis";5
"Sorataea baphiae";5
"Sphaerellopsis filum";5
"Sporisorium barcinonense";5
"Sporisorium lanigeri";5
"Sporisorium monocymbii";5
"Sporisorium ophiuri";5
"Stemonitis splendens";5
"Striaticonidium cinctum";5
"Strigula nemathora";5
"Talaromyces funiculosus";5
"Tetraposporium asterinearum";5
"Thamnomyces chamissonis";5
"Tilletia elymandrae";5
"Tolyposporella eriocauli";5
"Tolyposporella rhytachnes";5
"Trametes elegans";5
"Trametes versicolor ";5
"Trichasterina popowiae";5
"Trichothelium akeassii";5
"Triscelophorus monosporus";5
"Uromyces vignae";5
"Xerocomus spinulosus";5
"Xylaria grammica";5
"Ypsilospora baphiae";5
"Zasmidium biverticillatum";5
"Zwackhia prosodea";5
"Zygosporium geminatum";5
"Acaulospora excavata";4
"Acaulospora laevis";4
"Acaulospora mellea";4
"Acremonium nigricans";4
"Acremonium polychromum";4
"Aecidium acanthinum";4
"Aecidium blepharidis";4
"Aecidium marsdeniae";4
"Aecidium micrococcae";4
"Aecidium nummulare";4
"Aecidium schwenkiae";4
"Akanthomyces tuberculatus";4
"Alternaria elegans";4
"Amanita annulatovaginata";4
"Amanita baccata";4
"Amauroderma preussii ";4
"Amauroderma rugosum";4
"Amylosporus campbellii";4
"Annulohypoxylon stygium";4
"Anthracocystis rhytachnes";4
"Arthonia trilocularis";4
"Arthrinium sacchari";4
"Aschersonia crenulata";4
"Aschersonia flavescens";4
"Aspergillus awamori";4
"Aspergillus flavipes";4
"Aspergillus japonicus";4
"Aspergillus nidulans";4
"Aspergillus ochraceoroseus";4
"Aspergillus ruber";4
"Aspergillus silvaticus";4
"Aspergillus sulphureus";4
"Asteridiella bersamae";4
"Asteridiella lagunculariae ";4
"Asterina combreti";4
"Asterina connectilis";4
"Asterina deviata";4
"Asterina funtumiae";4
"Asterina lawsoniae";4
"Asterina pleioceratis";4
"Asterina spissa";4
"Aulaxina epiphylla";4
"Aulaxina quadrangula";4
"Bacidina apiahica";4
"Bathelium mastoideum";4
"Bidenticula cannae";4
"Bipolaris cookei";4
"Bitunicostilbe clavata";4
"Boletellus lepidospora";4
"Boletellus longipes";4
"Boletus pseudoloosii";4
"Brasilicia dimerelloides";4
"Bullatina aspidota";4
"Byssoloma chlorinum";4
"Byssoloma leucoblepharum";4
"Calopadia phyllogena";4
"Calopadia puiggarii";4
"Cercospora cardiospermi";4
"Cercospora carotae";4
"Cercospora demetrioniana";4
"Cercospora furfurella";4
"Cercospora justiciicola";4
"Cercospora lactucae-sativae";4
"Cercospora physalidicola";4
"Cercospora setariae";4
"Cercospora solanicola";4
"Cerotelium combreti";4
"Chaetocalathus hispidus";4
"Chaetomium globosum";4
"Chionomyces chorleyi";4
"Chroodiscus coccineus";4
"Ciliochorella mangiferae";4
"Claroideoglomus claroideum";4
"Coccocarpia palmicola";4
"Coelomomyces africanus";4
"Colletotrichum mangenotii";4
"Collybia semiusta";4
"Coltricia perennis";4
"Colus subpusillus";4
"Coprinopsis acuminata";4
"Cordyceps polyarthra";4
"Coriolopsis telfairii";4
"Corticium koleroga";4
"Corynespora gigaspora";4
"Crepidotus mollis";4
"Cunninghamella echinulata";4
"Curvularia nodulosa";4
"Cyathus striatus";4
"Cylindrocarpon macrosporum";4
"Dactylaria acanthacearum";4
"Dactylaria africana";4
"Deightoniella africana";4
"Diacanthodes novoguineensis";4
"Diaporthe citri";4
"Dictyoarthrinium quadratum";4
"Dimerosporiella cephalosporii";4
"Duportella tristicula";4
"Ellisembia crassispora";4
"Elsinoe rhigiocaryae";4
"Entrophospora infrequens";4
"Ephelis japonica";4
"Epicoccum andropogonis ";4
"Eremothecium gossypii";4
"Eutypella theobromicola";4
"Fellhanera bouteillei";4
"Funalia caperata";4
"Fusarium avenaceum";4
"Fusarium oxysporum f.sp. cubense";4
"Ganoderma resinaceum";4
"Geastrum lageniforme";4
"Gigaspora decipiens";4
"Glomus ambisporum";4
"Glomus hoi";4
"Glomus macrocarpum";4
"Glomus taiwanense";4
"Glomus versiforme";4
"Golovinomyces cucurbitacearum";4
"Gonatophragmium mori";4
"Grammothele fuligo";4
"Gyalectidium rotuliforme";4
"Gymnopilus sapineus";4
"Gymnopus allegreti";4
"Gyroporus castaneus ";4
"Haematomma ivoriense";4
"Haplographium mangiferae";4
"Helminthosporium lycopersici";4
"Helminthosporium phyllantheum";4
"Hemileia dioscoreae-aculeatae";4
"Hemitrichia calyculata";4
"Hemitrichia serpula";4
"Hermatomyces tucumanensis";4
"Heterosporium luci";4
"Hexagonia orbiculata";4
"Hexagonia tricolor";4
"Hirsutella citriformis";4
"Hydnum lateritium";4
"Hygrophoropsis aurantiaca";4
"Hysterobrevium mori";4
"Irenopsis colae";4
"Irenopsis leeae";4
"Irenopsis njalaensis";4
"Irenopsis tenuissima";4
"Lactarius atro-olivinus";4
"Lactarius subbaliophaeus";4
"Lactifluus acrissimus";4
"Lactifluus chamaeleontinus";4
"Lactifluus fazaoensis";4
