"taxon";"species";"species_perc";"Benin";"Benin_perc";"Burkina Faso";"Burkina Faso_perc";"Gambia";"Gambia_perc";"Ghana";"Ghana_perc";"Guinea";"Guinea_perc";"Guinea-Bissau";"Guinea-Bissau_perc";"Ivory Coast";"Ivory Coast_perc";"Liberia";"Liberia_perc";"Mali";"Mali_perc";"Niger";"Niger_perc";"Nigeria";"Nigeria_perc";"Senegal";"Senegal_perc";"Sierra Leone";"Sierra Leone_perc";"Togo";"Togo_perc";"West Africa";"West Africa_perc"
"Sebacinales";93;0.0673649441522882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;1;0.02
"Septobasidiales";244;0.176742434119982;0;0;0;0;0;0;0;0;1;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Sporidiobolales";91;0.0659162356758949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.16;0;0;0;0;0;0;2;0.04
"Stereopsidales";17;0.012314022049343;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Thelephorales";356;0.257870108798007;8;1.85;2;1.53;0;0;1;0.07;5;0.62;0;0;0;0;1;0.63;0;0;0;0;0;0;0;0;1;0.06;2;0.38;16;0.33
"Tilletiales";236;0.170947600214409;1;0.23;0;0;0;0;2;0.13;2;0.25;0;0;1;0.09;0;0;0;0;0;0;2;0.16;1;0.36;4;0.25;2;0.38;6;0.12
"Trechisporales";114;0.0825763831544178;0;0;0;0;0;0;2;0.13;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;1;0.06;0;0;3;0.06
"Tremellales";435;0.315094093615542;0;0;1;0.76;0;0;2;0.13;1;0.12;0;0;2;0.17;0;0;0;0;0;0;2;0.16;1;0.36;3;0.19;2;0.38;5;0.1
"Trichosporonales";78;0.0564996305793385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Urocystidales";313;0.226722876555551;0;0;0;0;0;0;0;0;3;0.37;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;3;0.06
"Ustilaginales";1088;0.788097411157953;9;2.08;6;4.58;2;1.69;22;1.45;22;2.71;0;0;13;1.13;2;1.26;7;6.8;6;7.06;21;1.65;12;4.33;26;1.65;20;3.8;72;1.49
"Blastocladiomycota";215;0.155736161212279;0;0;4;3.05;0;0;1;0.07;0;0;0;0;0;0;1;0.63;0;0;0;0;4;0.31;0;0;3;0.19;0;0;6;0.12
"Blastocladiales";215;0.155736161212279;0;0;4;3.05;0;0;1;0.07;0;0;0;0;0;0;1;0.63;0;0;0;0;4;0.31;0;0;3;0.19;0;0;6;0.12
"Chytridiomycota";1218;0.882263462123517;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Chytridiales";607;0.439683022585365;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Olpidiales";57;0.0412881915772089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Glomeromycota";284;0.205716603647848;70;16.2;0;0;4;3.39;0;0;0;0;0;0;30;2.62;0;0;5;4.85;0;0;23;1.81;4;1.44;0;0;0;0;90;1.86
"Archaeosporales";14;0.0101409593347531;3;0.69;0;0;0;0;0;0;0;0;0;0;3;0.26;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;6;0.12
"Diversisporales";138;0.0999608848711374;38;8.8;0;0;0;0;0;0;0;0;0;0;13;1.13;0;0;1;0.97;0;0;11;0.86;0;0;0;0;0;0;46;0.95
"Glomerales";121;0.0876468628217944;28;6.48;0;0;4;3.39;0;0;0;0;0;0;14;1.22;0;0;3;2.91;0;0;10;0.79;4;1.44;0;0;0;0;36;0.75
"Paraglomerales";9;0.00651918814376983;1;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.97;0;0;1;0.08;0;0;0;0;0;0;2;0.04
"Zygomycota";1366;0.989467889376621;3;0.69;0;0;1;0.85;15;0.99;2;0.25;0;0;9;0.79;2;1.26;2;1.94;0;0;16;1.26;1;0.36;9;0.57;1;0.19;37;0.77
"Entomophthorales";326;0.236139481652107;1;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0.25;0;0;5;0.1
"Kickxellales";37;0.026801106813276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.63;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Mortierellales";122;0.088371217059991;0;0;0;0;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Mucorales";287;0.207889666362438;1;0.23;0;0;1;0.85;14;0.93;2;0.25;0;0;8;0.7;1;0.63;2;1.94;0;0;15;1.18;1;0.36;5;0.32;1;0.19;27;0.56
"Zoopagales";221;0.160082286641459;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Zygomycota_Incertae_sedis";NA;NA;1;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;2;0.04
"Cercozoa";48;0.0347690034334391;0;0;1;0.76;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Plasmodiophorida";44;0.0318715864806525;0;0;1;0.76;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Choanozoa";96;0.0695380068668782;7;1.62;0;0;0;0;0;0;1;0.12;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0.19
"Eccrinida";96;0.0695380068668782;7;1.62;0;0;0;0;0;0;1;0.12;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0.19
"Mycetozoa";1184;0.857635418024831;0;0;0;0;21;17.8;4;0.26;3;0.37;0;0;1;0.09;45;28.3;1;0.97;0;0;80;6.28;1;0.36;16;1.01;1;0.19;114;2.36
"Dictyostelida";149;0.107928781491301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Liceida";157;0.113723615396874;0;0;0;0;0;0;1;0.07;1;0.12;0;0;0;0;3;1.89;0;0;0;0;5;0.39;0;0;1;0.06;0;0;6;0.12
"Physarida";415;0.300607008851609;0;0;0;0;3;2.54;0;0;1;0.12;0;0;0;0;12;7.55;1;0.97;0;0;23;1.81;0;0;4;0.25;1;0.19;29;0.6
"Protostelida";32;0.0231793356222927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.63;0;0;0;0;1;0.08;0;0;2;0.13;0;0;2;0.04
"Stemonitiida";217;0.157184869688673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trichiida";190;0.137627305257363;0;0;0;0;7;5.93;0;0;1;0.12;0;0;0;0;10;6.29;0;0;0;0;20;1.57;0;0;5;0.32;0;0;27;0.56
"Oomycota";1616;1.17055644892578;5;1.16;2;1.53;1;0.85;14;0.93;7;0.86;0;0;8;0.7;4;2.52;1;0.97;1;1.18;11;0.86;3;1.08;12;0.76;3;0.57;28;0.58
"Albuginales";64;0.0463586712445855;1;0.23;0;0;0;0;1;0.07;0;0;0;0;2;0.17;0;0;0;0;0;0;0;0;0;0;2;0.13;0;0;4;0.08
