;status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;country;only year;first_author
6734;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Substratum: leaf. Associated organism: Zea mays;Gramineae;IMI47223;Sierra Leone;1951;Deighton, F.C.
6735;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI327626;Nigeria;1988;Efiuvwevwere, B.J.O.
6736;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Substratum: stalk. Associated organism: Zea mays;Gramineae;IMI310067;Nigeria;1986;Fajemisin [Dr]
6737;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI138008;Nigeria;;Broadbent, J.A. [Dr]
6738;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Capsicum annuum;Solanaceae;IMI223087;Nigeria;1977;Uma, N.U.
6739;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Substratum: stalk. Associated organism: Zea mays;Gramineae;IMI310056;Nigeria;1986;Fajemisin [Dr]
6740;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI138007;Nigeria;;Broadbent, J.A. [Dr]
6741;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI132665;Nigeria;1968;Broadbent, J.A.
6742;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI173119;Nigeria;1973;Oyeniran, J.O.
6743;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Cola nitida;Sterculiaceae;IMI182211a;Nigeria;1974;McDonald, D.
6744;;Fungi;Ascomycota;Diaporthales;;;Botryodiplodia theobromae;Pat.;;;Associated organism: Cola nitida;Sterculiaceae;IMI182211b;Nigeria;1974;McDonald, D.
6745;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Substratum: seed. Associated organism: Zea mays;Gramineae;IMI305682;Nigeria;1986;Dada, J.
6746;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI148065;Nigeria;;Oyeniran, J.O.
6747;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Vigna sinensis;Leguminosae;IMI160102;Nigeria;;Ogundama, S.
6748;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI138009;Nigeria;;Broadbent, J.A. [Dr]
6749;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Cola nitida;Sterculiaceae;IMI182202;Nigeria;1974;McDonald, D.
6750;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI161981;Nigeria;;Oyeniran, J.O.
6751;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Cola nitida;Sterculiaceae;IMI182187a;Nigeria;1974;McDonald, D.
6752;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Cola nitida;Sterculiaceae;IMI182187b;Nigeria;1974;McDonald, D.
