ID;gbifID;phylum;species;authors;country;recordedBy;basisOfRecord;identifiedBy;typeStatus
8871;100222137;Ascomycota;Bipolaris sorokiniana;(S.Ito & Kurib.) Drechsler ex Dastur,;Nigeria;;PRESERVED_SPECIMEN;;
8870;100222138;Ascomycota;Bipolaris sorokiniana;(S.Ito & Kurib.) Drechsler ex Dastur,;Nigeria;;PRESERVED_SPECIMEN;;
8869;100222201;Ascomycota;Cochliobolus neergaardii;Alcorn;Ghana;;PRESERVED_SPECIMEN;;
8868;100222215;Ascomycota;Curvularia pallescens;(Tsuda & Ueyama) Sivan.;Togo;;PRESERVED_SPECIMEN;;
8867;100222303;Ascomycota;Bipolaris sorokiniana;(S.Ito & Kurib.) Drechsler ex Dastur,;Nigeria;;PRESERVED_SPECIMEN;;
8866;100222304;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Nigeria;;PRESERVED_SPECIMEN;;
8865;100222305;Ascomycota;Bipolaris sorokiniana;(S.Ito & Kurib.) Drechsler ex Dastur,;Nigeria;;PRESERVED_SPECIMEN;;
8864;100222342;Ascomycota;Bipolaris oryzae;(S.Ito & Kurib.) Drechsler ex Dastur,;Togo;;PRESERVED_SPECIMEN;;
8863;100222408;Ascomycota;Curvularia pallescens;(Tsuda & Ueyama) Sivan.;Nigeria;;PRESERVED_SPECIMEN;;
8862;100222409;Ascomycota;Bipolaris oryzae;(S.Ito & Kurib.) Drechsler ex Dastur,;Nigeria;;PRESERVED_SPECIMEN;;
8861;100222498;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Nigeria;;PRESERVED_SPECIMEN;;
8860;100223184;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Nigeria;;PRESERVED_SPECIMEN;;
8859;100223185;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Nigeria;;PRESERVED_SPECIMEN;;
8858;100223796;Ascomycota;Curvularia pallescens;(Tsuda & Ueyama) Sivan.;Sierra Leone;;PRESERVED_SPECIMEN;;
8857;100223887;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Ghana;;PRESERVED_SPECIMEN;;
8856;100223950;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Sierra Leone;;PRESERVED_SPECIMEN;;
8855;100223951;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Sierra Leone;;PRESERVED_SPECIMEN;;
8854;100223952;Ascomycota;Curvularia pallescens;(Tsuda & Ueyama) Sivan.;Sierra Leone;;PRESERVED_SPECIMEN;;
8853;100223957;Ascomycota;Bipolaris oryzae;(S.Ito & Kurib.) Drechsler ex Dastur,;Sierra Leone;;PRESERVED_SPECIMEN;;
8852;100223958;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Sierra Leone;;PRESERVED_SPECIMEN;;
8851;100224033;Ascomycota;Curvularia pallescens;(Tsuda & Ueyama) Sivan.;Nigeria;;PRESERVED_SPECIMEN;;
8850;100224078;Ascomycota;Bipolaris oryzae;(S.Ito & Kurib.) Drechsler ex Dastur,;Nigeria;;PRESERVED_SPECIMEN;;
8849;100224093;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Nigeria;;PRESERVED_SPECIMEN;;
8848;100224108;Ascomycota;Curvularia nodulosa;Luttr.,;Nigeria;;PRESERVED_SPECIMEN;;
8847;100224185;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Guinea;;PRESERVED_SPECIMEN;;
8846;100224200;Ascomycota;Curvularia ravenelii;Alcorn,;Ghana;;PRESERVED_SPECIMEN;;
8845;100225303;Ascomycota;Curvularia verruculosa;(Tsuda & Ueyama) Sivan.;Nigeria;;PRESERVED_SPECIMEN;;
8844;100225311;Ascomycota;Curvularia verruculosa;(Tsuda & Ueyama) Sivan.;Nigeria;;PRESERVED_SPECIMEN;;
8843;100225931;Ascomycota;Curvularia spicifera;R.R.Nelson,;Nigeria;;PRESERVED_SPECIMEN;;
8842;100226165;Ascomycota;Curvularia tuberculata;Sivan.,;Nigeria;;PRESERVED_SPECIMEN;;
8841;100227275;Ascomycota;Coleophoma empetri;(Rostr.) Petr.;Burkina Faso;;PRESERVED_SPECIMEN;;
8837;100228888;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Sierra Leone;;PRESERVED_SPECIMEN;;
8836;100229061;Ascomycota;Colletotrichum circinans;(Berk.) Voglino;Nigeria;;PRESERVED_SPECIMEN;;
