;n;first;last;origin
Patouillard;5;1889;1912;European
Paul;1;2015;2015;other
Pegler;9;1966;1992;European
Penney;2;2009;2012;European
Perreau;1;1983;1983;European
Persiani;2;1982;1987;European
Petch;2;1928;1939;other
Petersen;3;1975;2008;other
Peterson;1;2010;2010;other
Petrak;3;1947;1954;European
Piatek;5;2014;2018;European
Piening;1;1962;1962;European
Piepenbring;2;2000;2012;European
Pirozynski;2;1962;1965;European
Punithalingam;4;1969;1981;European
Raboin;1;2007;2007;European
Raciborski;1;1900;1900;European
Rambelli;6;1976;1987;European
Rammeloo;3;1978;1993;European
Rao;1;1975;1975;other
Raper;1;1952;1952;other
Reddy;1;2015;2015;other
Redhead;1;1968;1968;African
Reid;2;1975;1975;European
Resplandy;1;1954;1954;European
Richardson;1;1990;1990;European
Riviere;1;2007;2007;other
Roberts;2;2000;2001;European
Rodriguez;1;2002;2002;other
Rodriguez Justavino;1;2015;2015;other
Roger L;2;1951;1953;European
Roger ML;1;1936;1936;European
Romagnesi;1;1979;1979;European
Rossi;10;1978;2013;European
Ryvarden;1;2004;2004;European
Saccardo;1;1913;1913;European
Salisbury;1;1971;1971;European
Samson;10;1973;1989;European
Samuels;1;2012;2012;other
Sanginga;1;1999;1999;African
Sankaran;1;1991;1991;other
Sanon E;1;2014;2014;African
Sanon KB;3;1997;2009;African
Santamaria;1;2009;2009;European
Santesson;3;1952;1999;European
Sarr;1;2014;2014;African
Savary;1;1988;1988;European
Sawadogo;1;1990;1990;African
Scholz;1;1981;1981;European
Schreurs;1;1972;1972;European
Segretain;1;1959;1959;European
Seifert;1;1985;1985;European
Sere;1;2007;2007;African
Serusiaux;2;1984;2008;European
Sery;1;2016;2016;African
Shah;1;1994;1994;African
Shen;1;2001;2001;other
Sherwood;2;1977;1980;European
Sikirou;1;2015;2015;African
Simmons;2;2000;2007;other
Singer;7;1944;1948;European
Singh;2;1972;1976;African
Sivanesan;12;1970;1987;other
Smith;1;1956;1956;European
Spegazzini;1;1915;1915;other
Stadler;1;2010;2010;European
Staiger;1;1995;1995;European
Stchigel;1;2000;2000;European
Stevens;1;1983;1983;other
Steyaert;3;1949;1953;European
Stolk;1;1968;1968;European
Strong;1;1930;1930;other
Subramanian;1;1972;1972;other
Sutton;9;1963;1980;other
Swinscow;2;1975;1988;European
Sydow H;4;1904;1939;European
Talbot;2;1951;1956;European
Tam;1;2015;2015;other
Tchabi;3;2008;2009;African
Tehler;1;1986;1986;European
Thoen;2;1989;1989;European
Thomas MD;2;1985;1991;European
Thomas RJ;2;1987;1987;European
Thorold;1;1952;1952;European
Thouvenel;1;1980;1980;African
Tibell;1;1981;1981;European
Tkalcec;1;2010;2010;European
Tovide;1;2018;2018;African
Tuovila;1;2011;2011;European
Turnbull;1;1999;1999;European
Turner BC;1;1990;1990;other
Turner PD;1;1971;1971;European
Tuzet;2;1952;1957;European
Vainio;1;1901;1901;European
Valenzuela-Lopez;1;2018;2018;European
van de Putte;1;2009;2009;European
van der Aa;1;1983;1983;European
van der Westhuizen;1;1990;1990;other
van Rooij;1;2003;2003;European
Vandemeulebroucke;1;1999;1999;European
Vanie-Leabo;1;2017;2017;African
Vanky;4;1997;2011;European
Verbeken;3;1995;2010;European
Vezda;5;1973;1987;European
Viennot-Bourgin;9;1950;1959;European
Vincent;1;1988;1988;other
Voglmayr;2;2008;2009;European
von Arx;3;1965;1987;European
Wakefield AE;1;1990;1990;European
Wakefield EM;6;1912;1949;European
Walleyn;1;1994;1994;European
Waterhouse;1;1981;1981;European
Watling;1;1992;1992;European
Wendt;1;2017;2017;European
West;1;1938;1938;European
Whalley;1;1988;1988;European
Wickerham;1;1969;1969;other
Wilson;1;2000;2000;other
Wolf;1;1949;1949;European
Woudenberg;2;2013;2015;European
Wu;1;1995;1995;European
Wulff;1;2010;2010;European
Yamamoto;1;1996;1996;other
Yaninek;1;1996;1996;African
Yen;5;1974;1978;European
Yorou;12;2001;2014;African
Zambettakis;4;1951;1977;European
Zare;1;2001;2001;European
Zhao;1;2011;2011;other
Zida;1;2008;2008;African
Zoberi;3;1972;1979;African
Zucconi;6;1982;1993;European
